As At Month,Visa Type,Occupation,EOI Status,Points,Count EOIs
09/2024,190SAS Skilled Australian Sponsored,121212 Flower Grower,SUBMITTED,65,<20
09/2024,190SAS Skilled Australian Sponsored,121212 Flower Grower,SUBMITTED,70,<20
09/2024,190SAS Skilled Australian Sponsored,121212 Flower Grower,SUBMITTED,75,<20
09/2024,190SAS Skilled Australian Sponsored,121212 Flower Grower,SUBMITTED,80,<20
09/2024,190SAS Skilled Australian Sponsored,121212 Flower Grower,SUBMITTED,90,<20
09/2024,190SAS Skilled Australian Sponsored,121212 Flower Grower,CLOSED,60,<20
09/2024,190SAS Skilled Australian Sponsored,121212 Flower Grower,CLOSED,65,<20
09/2024,190SAS Skilled Australian Sponsored,121212 Flower Grower,CLOSED,70,<20
09/2024,190SAS Skilled Australian Sponsored,121212 Flower Grower,CLOSED,75,<20
09/2024,190SAS Skilled Australian Sponsored,121215 Grape Grower,SUBMITTED,65,<20
09/2024,190SAS Skilled Australian Sponsored,121215 Grape Grower,SUBMITTED,70,<20
09/2024,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,SUBMITTED,65,<20
09/2024,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,SUBMITTED,70,<20
09/2024,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,SUBMITTED,75,<20
09/2024,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,SUBMITTED,80,<20
09/2024,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,SUBMITTED,85,<20
09/2024,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,SUBMITTED,90,<20
09/2024,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,LODGED,80,<20
09/2024,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,INVITED,70,<20
09/2024,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,CLOSED,70,<20
09/2024,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,CLOSED,80,<20
09/2024,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,CLOSED,85,<20
09/2024,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,CLOSED,90,<20
09/2024,190SAS Skilled Australian Sponsored,121311 Apiarist,SUBMITTED,55,<20
09/2024,190SAS Skilled Australian Sponsored,121311 Apiarist,SUBMITTED,65,<20
09/2024,190SAS Skilled Australian Sponsored,121311 Apiarist,CLOSED,55,<20
09/2024,190SAS Skilled Australian Sponsored,121311 Apiarist,CLOSED,60,<20
09/2024,190SAS Skilled Australian Sponsored,121311 Apiarist,CLOSED,75,<20
09/2024,190SAS Skilled Australian Sponsored,121321 Poultry Farmer,SUBMITTED,65,<20
09/2024,190SAS Skilled Australian Sponsored,121321 Poultry Farmer,SUBMITTED,70,<20
09/2024,190SAS Skilled Australian Sponsored,121321 Poultry Farmer,SUBMITTED,75,<20
09/2024,190SAS Skilled Australian Sponsored,121321 Poultry Farmer,SUBMITTED,80,<20
09/2024,190SAS Skilled Australian Sponsored,121321 Poultry Farmer,LODGED,75,<20
